Brand,Price (Rp),Location,Rating,Sold
Hp,5949000,Jakarta Pusat,5.0,5
Lenovo,6799000,Jakarta Pusat,5.0,70
Hp,3217500,Jakarta Barat,5.0,13
Acer,4689000,Jakarta Selatan,5.0,13
Acer,7349000,Jakarta Utara,5.0,100
Lenovo,5579000,Depok,5.0,80
Lenovo,8499000,Jakarta Pusat,5.0,19
Fujitsu,2600000,Jakarta Pusat,4.7,8
Ast,8150000,Jakarta Barat,5.0,100
Asus,1386000,Jakarta Barat,4.4,20
Lenovo,1899999,Jakarta Barat,4.9,2000
Lenovo,2300000,Jakarta Barat,5.0,17
Hp,2800000,Jakarta Utara,4.4,80
Lenovo,2400000,Bogor,5.0,8
Acer,800000,Kab. Subang,0,0
Lenovo,1732500,Jakarta Barat,4.8,250
Hp,2300000,Pekanbaru,4.9,40
Lenovo,2750000,Depok,4.9,50
Asus,6999000,Bandung,5.0,60
Hp,2200000,Jakarta Pusat,0,0
Zyrex,3999000,Jakarta Utara,5.0,100
Asus,4150000,Bandung,0,0
Ast,8150000,Jakarta Barat,5.0,100
Samsung,800000,Jakarta Barat,4.2,6
Asus,1386000,Jakarta Barat,4.4,20
Fujitsu,2600000,Jakarta Pusat,4.7,8
Lenovo,1899999,Jakarta Barat,4.9,2000
Lenovo,2750000,Depok,4.9,50
Lenovo,10299000,Bogor,5.0,1
Hp,2200000,Jakarta Pusat,0,0
Lenovo,750000,Bandung,5.0,8
Zyrex,3999000,Jakarta Utara,5.0,100
Asus,5749000,Jakarta Utara,5.0,1000
Lenovo,4100000,Kab. Gresik,0,2
Asus,4150000,Bandung,0,0
Hp,2300000,Pekanbaru,4.9,40
Lenovo,2450000,Jakarta Pusat,5.0,100
Apple,10450000,Kab. Tangerang,5.0,28
Maxone,4350000,Malang,0,0
Lenovo,3150000,Jakarta Barat,4.7,23
Asus,7399000,Jakarta Utara,5.0,500
Asus,6999000,Bandung,5.0,60
Hp,6199000,Jakarta Selatan,5.0,2
Axioo,2749000,Jakarta Selatan,5.0,1
Toshiba,3050000,Jakarta Pusat,5.0,6
Lenovo,500000,Jakarta Pusat,0,0
Lenovo,6349000,Jakarta Pusat,5.0,2
Zyrex,2199000,Jakarta Selatan,5.0,100
Lenovo,2450000,Jakarta Pusat,4.9,100
Lenovo,4899000,Jakarta Barat,4.9,500
Acer,113600,Jakarta Barat,0,10
Acer,1650000,Malang,0,0
Lenovo,1000000,Jakarta Pusat,0,0
Lenovo,2000000,Jakarta Pusat,0,0
Acer,2400000,Jakarta Barat,4.4,13
Hp,2700000,Tangerang,0,0
Acer,600000,Kab. Bekasi,4.5,250
Acer,2900000,Jakarta Pusat,0,0
Asus,12485000,Bekasi,0,0
Axioo,4229000,Jakarta Pusat,4.9,500
Lenovo,1300000,Kab. Tangerang,0,0
Dell,2500000,Bandung,4.9,15
Lenovo,3150000,Jakarta Barat,4.8,100
Asus,4719000,Malang,0,0
Asus,4749000,Jakarta Timur,5.0,26
Axioo,1900000,Jakarta Barat,0,0
Dell,4090000,Jakarta Pusat,5.0,2
Zyrex,2599000,Jakarta Utara,5.0,21
Vaio,1500000,Jakarta Pusat,0,0
Asus,7990000,Jakarta Pusat,5.0,3
Fujitsu,4090000,Jakarta Pusat,5.0,9
Fujitsu,1899999,Jakarta Barat,5.0,40
Lenovo,2650000,Bogor,4.9,100
Asus,2200000,Jakarta Pusat,5.0,1
Toshiba,2100000,Jakarta Pusat,5.0,13
Lenovo,2350000,Tangerang,0,3
Asus,7399000,Jakarta Utara,4.8,40
Hp,20497000,Jakarta Utara,0,0
Axioo,3805000,Malang,0,0
Msi,3300000,Tangerang,0,0
Dell,4090000,Jakarta Pusat,5.0,2
Asus,2550000,Kab. Sleman,0,0
Asus,4749000,Jakarta Timur,5.0,26
Acer,1650000,Malang,0,0
Vaio,1550000,Jakarta Pusat,5.0,3
Lenovo,2750000,Depok,4.9,50
Lenovo,5635000,Tangerang Selatan,5.0,1
Dell,1930000,Jakarta Barat,4.9,70
Lenovo,950000,Jakarta Utara,4.8,1000
Lenovo,5799000,Makassar,4.9,40
Lenovo,3000000,Yogyakarta,5.0,80
Lenovo,660000,Jakarta Pusat,0,0
Microsoft,1430000,Jakarta Utara,5.0,70
Lenovo,5499000,Jakarta Barat,4.9,100
Asus,2438000,Jakarta Barat,4.2,21
Acer,930000,Malang,0,3
Asus,15099000,Jakarta Utara,5.0,250
Asus,900000,Jakarta Pusat,0,0
Asus,450000,Jakarta Pusat,0,0
Lenovo,65000,Bekasi,5.0,1
Toshiba,1900000,Bogor,0,2
Hp,1350000,Jakarta Utara,0,1
Asus,2000000,Jakarta Barat,0,0
Dell,3055000,Surabaya,0,1
Lenovo,13750000,Kab. Bandung,4.6,7
Xiaomi,2600000,Surabaya,0,0
Lenovo,1050000,Jakarta Utara,4.9,100
Lenovo,3400000,Jakarta Pusat,5.0,1
Advan,3979000,Jakarta Utara,5.0,100
Axioo,5389000,Jakarta Selatan,5.0,500
Axioo,9399000,Jakarta Utara,5.0,15
Axioo,4199000,Jakarta Selatan,4.9,250
Asus,4139000,Jakarta Utara,4.9,250
Ast,14115600,Jakarta Barat,0,0
Hp,4700000,Jakarta Pusat,5.0,50
Acer,8950000,Jakarta Utara,5.0,100
Hp,3320000,Kab. Sleman,5.0,7
Asus,5749000,Kab. Tangerang,5.0,100
Asus,7399000,Jakarta Utara,4.9,100
Asus,1680000,Jakarta Utara,0,0
Asus,12889000,Jakarta Utara,5.0,750
Asus,2300000,Malang,0,0
Acer,6159000,Jakarta Pusat,5.0,3
Hp,6990000,Jakarta Utara,4.9,100
Asus,19999000,Jakarta Utara,5.0,7
Advan,4449000,Jakarta Pusat,5.0,100
Asus,7399000,Jakarta Utara,5.0,500
