Brand,Price,Location,Rating,Sold
Lenovo,Rp4.775.000,Kab. Sleman,0,0 terjual
Hp,Rp5.949.000,Jakarta Pusat,5.0,5 terjual
Lenovo,Rp6.799.000,Jakarta Pusat,5.0,70+ terjual
Hp,Rp3.217.500,Jakarta Barat,5.0,13 terjual
Acer,Rp4.689.000,Jakarta Selatan,5.0,13 terjual
Acer,Rp7.349.000,Jakarta Utara,5.0,100+ terjual
Lenovo,Rp5.579.000,Depok,5.0,80+ terjual
Lenovo,Rp8.499.000,Jakarta Pusat,5.0,19 terjual
Fujitsu,Rp2.600.000,Jakarta Pusat,4.7,8 terjual
Ast,Rp8.150.000,Jakarta Barat,5.0,100+ terjual
Asus,Rp1.386.000,Jakarta Barat,4.4,20 terjual
Lenovo,Rp1.899.999,Jakarta Barat,4.9,2rb+ terjual
Lenovo,Rp2.300.000,Jakarta Barat,5.0,17 terjual
Hp,Rp2.800.000,Jakarta Utara,4.4,80+ terjual
Lenovo,Rp2.400.000,Bogor,5.0,8 terjual
Acer,Rp800.000,Kab. Subang,0,0 terjual
Lenovo,Rp1.732.500,Jakarta Barat,4.8,250+ terjual
Hp,Rp2.300.000,Pekanbaru,4.9,40+ terjual
Lenovo,Rp2.750.000,Depok,4.9,50+ terjual
Asus,Rp6.999.000,Bandung,5.0,60+ terjual
Hp,Rp2.200.000,Jakarta Pusat,0,0 terjual
Zyrex,Rp3.999.000,Jakarta Utara,5.0,100+ terjual
Asus,Rp4.150.000,Bandung,0,0 terjual
Ast,Rp8.150.000,Jakarta Barat,5.0,100+ terjual
Samsung,Rp800.000,Jakarta Barat,4.2,6 terjual
Asus,Rp1.386.000,Jakarta Barat,4.4,20 terjual
Fujitsu,Rp2.600.000,Jakarta Pusat,4.7,8 terjual
Lenovo,Rp1.899.999,Jakarta Barat,4.9,2rb+ terjual
Lenovo,Rp2.750.000,Depok,4.9,50+ terjual
Lenovo,Rp10.299.000,Bogor,5.0,1 terjual
Hp,Rp2.200.000,Jakarta Pusat,0,0 terjual
Lenovo,Rp750.000,Bandung,5.0,8 terjual
Zyrex,Rp3.999.000,Jakarta Utara,5.0,100+ terjual
Asus,Rp5.749.000,Jakarta Utara,5.0,1rb+ terjual
Lenovo,Rp4.100.000,Kab. Gresik,0,2 terjual
Asus,Rp4.150.000,Bandung,0,0 terjual
Hp,Rp2.300.000,Pekanbaru,4.9,40+ terjual
Lenovo,Rp2.450.000,Jakarta Pusat,5.0,100+ terjual
Apple,Rp10.450.000,Kab. Tangerang,5.0,28 terjual
Maxone,Rp4.350.000,Malang,0,0 terjual
Lenovo,Rp3.150.000,Jakarta Barat,4.7,23 terjual
Asus,Rp7.399.000,Jakarta Utara,5.0,500+ terjual
Asus,Rp6.999.000,Bandung,5.0,60+ terjual
Hp,Rp6.199.000,Jakarta Selatan,5.0,2 terjual
Axioo,Rp2.749.000,Jakarta Selatan,5.0,1 terjual
Toshiba,Rp3.050.000,Jakarta Pusat,5.0,6 terjual
Lenovo,Rp500.000,Jakarta Pusat,0,0 terjual
Lenovo,Rp6.349.000,Jakarta Pusat,5.0,2 terjual
Zyrex,Rp2.199.000,Jakarta Selatan,5.0,100+ terjual
Lenovo,Rp2.450.000,Jakarta Pusat,4.9,100+ terjual
Lenovo,Rp4.899.000,Jakarta Barat,4.9,500+ terjual
Acer,Rp113.600,Jakarta Barat,0,10 terjual
Acer,Rp1.650.000,Malang,0,0 terjual
Lenovo,Rp1.000.000,Jakarta Pusat,0,0 terjual
Lenovo,Rp2.000.000,Jakarta Pusat,0,0 terjual
