Name,Price,Location,Rating,Sold
Macbook Pro M2 13inch 2022 Ram 8/256GB,Rp8.000.000,Jakarta Selatan,5.0,3 terjual
Laptop Thinkpad X1 Carbon 9th Core i5/i7 Gen 11 RAM 16 SSD NVME 1TB FHD IPS Win 11 Original Touchscreen Windows,Rp6.890.000,Jakarta Barat,5.0,12 terjual
ASUS EXPERTBOOK P1403CVA I7 13700H I5 13420H I3 1315 16GB 512GB SSD W11+OHS+O365B 14.0FHD 3Y -S67151WS S63850WS S65150WS - LAPTOP ULTRABOOK NOTEBOOK COCOK UNTUK KULIAH KERJA SEKOLAH WORK STREAMING FILM NETFLIX,Rp6.849.000,Jakarta Utara,5.0,500+ terjual
Laptop Editing/Designing/Kerja HP X360 1040 G7 TouchScreen Core I7 Gen 10 Second BERGARANSI BERBONUS,Rp4.490.000,Jakarta Pusat,5.0,40+ terjual
Laptop Lenovo Thinkpad X1 Yoga Core i7 Gen 8 RAM 16GB 2 in 1 Tablet,Rp5.000.000,Jakarta Pusat,4.9,100+ terjual
Laptop HP Victus 15 Ryzen 5 7535 RTX2050 4GB/ 8GB 512GB W11 15.6FHD Ohs,Rp9.699.000,Jakarta Pusat,5.0,2 terjual
Axioo Hype 5 Ryzen 5 3500U 16GB 1TBSSD 14.0FHD IPS WIN 11 Pro + OFFICE,Rp4.199.000,Jakarta Selatan,4.9,250+ terjual
LAPTOP ASUS VIVOBOOK 15 F1502ZA TOUCH i7 1255U 16GB 1TBSSD W11 15.6FHD,Rp9.699.000,Jakarta Utara,4.9,100+ terjual
LAPTOP LENOVO IDEAPAD SLIM 5 - i7 13620H 16GB 512GB SSD 14” WUXGA IPS,Rp14.499.000,Jakarta Pusat,5.0,4 terjual
Thinkpad L380 i5-8th 16GB 512GB / thinkpad l380 i5-8th L390 i5 i7 8th,Rp2.400.000,Jakarta Pusat,5.0,2 terjual
Lenovo Thinkpad X390 / X390 YOGA Core i7 8th Gen RAM 16GB Like New,Rp2.800.000,Jakarta Pusat,4.8,100+ terjual
ASUS EXPERTBOOK RYZEN 5 7535HS 16GB STORAGE 512GB SSD WINDOWS 11+OHS+M365B 14 INCH FHD VIPS -PM1403CDA,Rp7.399.000,Jakarta Utara,,2 terjual
ASUS EXPERTBOOK P1403CVA I3 1315 8GB 512GB W11+OHS 14.0FHD,Rp6.849.000,Jakarta Utara,,4 terjual
ASUS VIVOBOOK 14 A1405ZA A1404ZA A1404VA I7 1355 I5 1335 1235 I3 1315 16GB 512GB W11+OHS 14.0FHD VIPS IPS - A1405ZA A1404ZA X1404ZA E1404GA A416JAO F1504ZA F1404ZA A1400EA,Rp5.599.000,Jakarta Utara,5.0,1rb+ terjual
ThinkPad T490 T490s Core i7 16GB 512GB  / Thinkpad T490s T490 / T490 T490s,Rp3.300.000,Jakarta Pusat,4.9,1rb+ terjual
LAPTOP Hp EliteBook 840 G5 Core i7 Gen8 RAM 32GB/512GB SSD FREE TAS,Rp2.300.000,Jakarta Barat,4.8,250+ terjual
HP Elitebook 845 G9 G8 G7 AMD Ryzen 7 | 5 Pro Radeon Vega Ram 32GB SSD 1TB | 14 inch TOUCHSCREEN,Rp4.600.000,Jakarta Barat,5.0,25 terjual
ASUS Expertbook P1403CVA-S65851WS Intel Core I5-13420H 8GB 512GB Windows 11 Home OHS+M365 Warranty 3Y (1Y ADP) Fingerprint,Rp8.799.000,Jakarta Pusat,,2 terjual
ASUS VIVOBOOK GO 14 E1404GA I3 N305 8CORE 8GB 256GB W11+OHS 14.0FHD,Rp5.749.000,Surabaya,4.9,25 terjual
"Laptop Asus ROG GL552JX, Core i7-4750HQ, #DualVga, Lengkap",Rp6.300.000,Jakarta Barat,5.0,40+ terjual
Hp Victus FA1789TX 15 Rtx3050 6GB I5 13420H 16GB 512GB Win 11+OHS 15.6FHD 144HZ Blit,Rp11.399.000,Jakarta Pusat,5.0,1 terjual
